timestamps,,,,,Marker
1496178719.615,454.862,351.403,391.706,412.090,0
1496178719.615,-40.256,280.270,-149.820,168.582,0
1496178719.616,539.797,646.049,-363.219,-373.670,0
1496178719.616,1042.089,736.156,178.979,-134.913,0
1496178719.617,456.780,360.958,388.273,403.305,0
1496178719.617,-37.489,284.810,-146.451,170.085,0
1496178719.617,548.881,672.116,-356.240,-369.208,0
1496178719.617,1042.613,734.720,177.475,-140.056,0
1496178719.618,454.151,351.657,390.509,406.073,0
1496178719.618,-27.765,288.632,-142.520,175.212,0
1496178719.619,540.649,649.879,-361.368,-366.703,0
1496178719.619,1048.877,730.722,177.512,-135.123,0
1496178719.644,1622.378,1098.670,-40.647,-682.218,0
1496178719.645,2124.472,1176.642,491.000,-454.411,0
1496178719.646,1548.490,807.128,712.060,92.428,0
1496178719.646,1050.886,730.116,170.373,-141.645,0
1496178719.675,1615.496,1098.573,-36.432,-687.659,0
1496178719.675,2123.597,1178.807,495.548,-452.773,0
1496178719.676,1551.138,808.003,714.196,95.640,0
1496178719.676,1050.616,735.505,180.523,-141.155,0
1496178719.677,1619.420,1100.495,-37.771,-682.517,0
1496178719.677,2119.756,1177.012,492.653,-458.241,0
1496178719.735,1555.181,816.160,715.433,95.487,0
1496178719.735,1053.350,733.699,184.110,-137.856,0
1496178719.735,1617.037,1104.520,-41.518,-682.128,0
1496178719.735,2117.636,1177.999,490.862,-457.582,0
1496178719.736,1559.733,819.911,713.575,93.161,0
1496178719.736,1054.113,741.976,184.117,-138.092,0
1496178719.737,1612.905,1104.576,-33.986,-680.370,0
1496178719.737,2121.279,1178.687,488.753,-453.289,0
1496178719.738,1562.777,814.286,721.784,92.319,0
1496178719.738,1054.685,736.799,179.053,-138.803,0
1496178719.739,1604.744,1095.192,-47.682,-679.192,0
1496178719.739,2121.600,1179.734,490.708,-454.998,0
1496178719.765,2672.789,1534.690,255.398,-998.099,0
1496178719.765,3183.040,1618.724,791.223,-771.272,0
1496178719.766,2628.409,1257.255,1012.574,-226.442,0
1496178719.766,2122.000,1181.245,482.204,-451.872,0
