timestamps,,,,,Marker
1496178843.729,356.237,-290.622,338.910,-378.945,0
1496178843.729,-266.124,-479.521,-37.889,-325.687,0
1496178843.785,-478.120,-688.042,-521.338,-956.279,0
1496178843.785,135.730,-504.752,-160.406,-1015.942,0
1496178843.785,346.719,-297.881,321.590,-386.216,0
1496178843.785,-262.889,-478.230,-39.647,-327.939,0
1496178843.786,-481.093,-688.895,-524.603,-958.318,0
1496178843.786,128.875,-513.324,-162.108,-1021.297,0
1496178843.787,350.919,-301.655,317.353,-391.089,0
1496178843.787,-266.988,-478.975,-40.769,-326.368,0
1496178843.787,-475.670,-687.242,-514.865,-950.606,0
1496178843.788,126.055,-513.421,-161.652,-1022.775,0
1496178843.788,349.370,-297.612,322.679,-391.814,0
1496178843.788,-271.479,-486.323,-51.536,-335.041,0
1496178843.815,-478.894,-698.043,-519.734,-957.222,0
1496178843.815,124.522,-524.626,-160.047,-1022.584,0
1496178843.815,351.472,-305.428,316.227,-391.137,0
1496178843.815,-267.676,-484.252,-43.704,-331.226,0
1496178843.817,-481.018,-690.212,-522.946,-961.762,0
1496178843.817,119.761,-524.633,-163.185,-1025.609,0
1496178843.936,354.868,-295.895,322.955,-389.095,0
1496178843.936,-260.245,-479.659,-41.943,-330.934,0
1496178843.937,-480.652,-694.075,-524.599,-956.141,0
1496178843.937,128.830,-513.817,-168.114,-1023.665,0
1496178844.028,351.502,-296.426,322.114,-393.048,0
1496178844.028,-254.908,-475.994,-40.828,-323.683,0
1496178844.029,-479.380,-693.809,-525.112,-955.157,0
1496178844.030,119.428,-517.254,-168.021,-1022.311,0
1496178844.031,354.935,-296.022,319.945,-390.072,0
1496178844.031,-255.181,-473.903,-37.900,-328.963,0
1496178844.031,-477.503,-686.165,-518.249,-952.113,0
1496178844.032,121.567,-516.106,-166.805,-1021.623,0
1496178844.032,361.495,-291.998,312.899,-396.048,0
1496178844.032,-251.493,-464.737,-40.462,-324.565,0
1496178844.033,-474.444,-679.153,-520.755,-950.187,0
1496178844.033,130.375,-506.446,-163.533,-1020.665,0
1496178844.055,-111.597,-732.355,-644.555,-1645.303,0
1496178844.055,487.092,-564.312,-292.640,-1723.868,0
1496178844.055,736.541,-333.004,194.398,-1092.526,0
1496178844.055,129.657,-508.993,-159.782,-1018.193,0
1496178844.058,-112.132,-732.673,-644.828,-1639.133,0
1496178844.058,487.021,-560.931,-293.844,-1724.608,0
1496178844.115,734.930,-329.691,190.123,-1095.417,0
1496178844.115,125.692,-502.197,-158.693,-1019.341,0
1496178844.115,-117.835,-742.684,-657.809,-1646.736,0
1496178844.115,479.287,-572.524,-303.010,-1721.365,0
1496178844.116,735.184,-324.657,193.639,-1091.482,0
1496178844.116,127.372,-503.843,-158.989,-1018.945,0
1496178844.117,-117.532,-734.808,-647.951,-1642.573,0
1496178844.117,485.499,-569.712,-296.709,-1723.041,0
1496178844.117,733.052,-334.085,193.818,-1098.895,0
1496178844.117,124.387,-514.502,-164.737,-1018.410,0
1496178844.119,-119.267,-741.611,-647.592,-1643.074,0
1496178844.119,476.097,-567.722,-297.857,-1723.505,0
1496178844.145,732.570,-337.290,190.512,-1097.043,0
1496178844.145,129.960,-507.119,-160.874,-1018.709,0
1496178844.145,-119.974,-736.869,-647.910,-1645.666,0
1496178844.145,482.844,-568.848,-296.264,-1725.333,0
1496178844.147,732.431,-333.760,190.232,-1097.806,0
1496178844.147,129.993,-504.400,-158.626,-1019.196,0
1496178844.235,-120.868,-743.945,-649.570,-1640.883,0
1496178844.235,479.242,-575.112,-301.518,-1723.882,0
1496178844.235,737.308,-325.584,191.272,-1093.240,0
1496178844.235,127.712,-500.889,-150.350,-1016.925,0
1496178844.237,-906.271,-674.971,-400.362,-252.641,0
1496178844.237,-304.030,-513.907,-56.891,-338.136,0
1496178844.237,-41.947,-264.884,434.425,292.731,0
1496178844.238,-654.273,-441.759,86.928,369.771,0
1496178844.238,-916.062,-681.943,-400.059,-258.640,0
1496178844.239,-307.089,-512.729,-56.009,-338.947,0
1496178844.239,-46.386,-265.486,432.087,293.382,0
1496178844.265,-652.489,-441.463,95.833,377.333,0
1496178844.265,-909.734,-683.487,-404.674,-241.268,0
1496178844.265,-310.589,-517.965,-66.914,-332.529,0
1496178844.265,-46.932,-271.440,429.918,292.234,0
1496178844.267,-650.032,-441.897,80.761,376.892,0
1496178844.267,-919.122,-688.663,-408.851,-249.911,0
1496178844.325,-319.831,-523.803,-68.780,-336.191,0
1496178844.325,-52.082,-273.265,425.012,289.896,0
1496178844.325,-656.121,-442.320,85.537,378.291,0
1496178844.325,-919.944,-684.441,-403.657,-246.272,0
1496178844.326,-325.317,-522.520,-68.320,-335.948,0
1496178844.326,-52.355,-271.661,430.408,291.426,0
1496178844.327,-654.262,-438.748,77.556,377.756,0
1496178844.327,-919.843,-688.278,-410.284,-249.010,0
1496178844.327,-323.563,-524.985,-65.587,-335.705,0
1496178844.327,-53.918,-265.625,424.832,283.752,0
1496178844.329,-653.514,-441.561,80.178,375.172,0
1496178844.329,-919.641,-687.695,-404.423,-245.973,0
